ID,Start Date,Start Day,Day ,activity
LL1-004,10/17/2019,Thu,1,1097
LL1-004,10/18/2019,Fri,2,1053.5
LL1-004,10/19/2019,Sat,3,1163
LL1-004,10/20/2019,Sun,4,975
LL1-004,10/21/2019,Mon,5,1145
LL1-004,10/22/2019,Tue,6,1162
LL1-004,10/23/2019,Wed,7,1076.5
LL1-006,10/18/2019,Fri,1,1093
LL1-006,10/19/2019,Sat,2,958
LL1-006,10/20/2019,Sun,3,1064
LL1-006,10/21/2019,Mon,4,977
LL1-006,10/22/2019,Tue,5,805
LL1-006,10/23/2019,Wed,6,865.5
LL1-006,10/24/2019,Thu,7,955.5
LL1-015,10/24/2019,Thu,1,1019
LL1-015,10/25/2019,Fri,2,916
LL1-015,10/26/2019,Sat,3,768.5
LL1-015,10/27/2019,Sun,4,645.5
LL1-015,10/28/2019,Mon,5,867.5
LL1-015,10/29/2019,Tue,6,905.5
LL1-015,10/30/2019,Wed,7,810
LL1-017,10/29/2019,Tue,1,884.5
LL1-017,10/30/2019,Wed,2,838
LL1-017,10/31/2019,Thu,3,954
LL1-017,11/1/2019,Fri,4,1565.5
LL1-017,11/2/2019,Sat,5,325.5
LL1-017,11/3/2019,Sun,6,890
LL1-017,11/4/2019,Mon,7,921
LL1-019,10/25/2019,Fri,1,837
LL1-019,10/26/2019,Sat,2,955.5
LL1-019,10/27/2019,Sun,3,819.5
LL1-019,10/28/2019,Mon,4,840.5
LL1-019,10/29/2019,Tue,5,957
LL1-019,10/30/2019,Wed,6,945.5
LL1-019,10/31/2019,Thu,7,932.5
LL1-031,10/24/2019,Thu,1,970.5
LL1-031,10/25/2019,Fri,2,961
LL1-031,10/26/2019,Sat,3,822
LL1-031,10/27/2019,Sun,4,923.5
LL1-031,10/28/2019,Mon,5,1010.5
LL1-031,10/29/2019,Tue,6,977
LL1-031,10/30/2019,Wed,7,928
LL1-038,11/8/2019,Fri,1,1141
LL1-038,11/9/2019,Sat,2,862
LL1-038,11/10/2019,Sun,3,858
LL1-038,11/11/2019,Mon,4,929.5
LL1-038,11/12/2019,Tue,5,904.5
LL1-038,11/13/2019,Wed,6,929.5
LL1-038,11/14/2019,Thu,7,1139.5
LL1-039,11/8/2019,Fri,1,971
LL1-039,11/9/2019,Sat,2,872.5
LL1-039,11/10/2019,Sun,3,810
LL1-039,11/11/2019,Mon,4,1001.5
LL1-039,11/12/2019,Tue,5,941
LL1-039,11/13/2019,Wed,6,986.5
LL1-039,11/14/2019,Thu,7,969.5
LL1-040,11/1/2019,Fri,1,1184
LL1-040,11/2/2019,Sat,2,945.5
LL1-040,11/3/2019,Sun,3,1075
LL1-040,11/4/2019,Mon,4,968
LL1-040,11/5/2019,Tue,5,1239
LL1-040,11/6/2019,Wed,6,949
LL1-040,11/7/2019,Thu,7,1091
LL1-049,11/14/2019,Thu,1,838.5
LL1-049,11/15/2019,Fri,2,966.5
LL1-049,11/16/2019,Sat,3,1110
LL1-049,11/17/2019,Sun,4,809
LL1-049,11/18/2019,Mon,5,1102
LL1-049,11/19/2019,Tue,6,949.5
LL1-049,11/20/2019,Wed,7,902.5
LL1-061,11/14/2019,Thu,1,1239.5
LL1-061,11/15/2019,Fri,2,1073.5
LL1-061,11/16/2019,Sat,3,1015.5
LL1-061,11/17/2019,Sun,4,856.5
LL1-061,11/18/2019,Mon,5,934
LL1-061,11/19/2019,Tue,6,1202
LL1-061,11/20/2019,Wed,7,1063.5
LL1-066,11/14/2019,Thu,1,1184.5
LL1-066,11/15/2019,Fri,2,1069.5
LL1-066,11/16/2019,Sat,3,1078.5
LL1-066,11/17/2019,Sun,4,992.5
LL1-066,11/18/2019,Mon,5,1128.5
LL1-066,11/19/2020,Thu,6,842.5
LL1-066,11/20/2019,Wed,7,1191.5
LL1-067,11/16/2019,Sat,1,1040
LL1-067,11/17/2019,Sun,2,919.5
LL1-067,11/18/2019,Mon,3,884.5
LL1-067,11/19/2019,Tue,4,1001.5
LL1-067,11/20/2019,Wed,5,1025
LL1-067,11/21/2019,Thu,6,1023
LL1-067,11/22/2019,Fri,7,1091.5
LL1-072,1/23/2020,Thurs,1,662
LL1-072,1/24/2020,Fri,2,1101
LL1-072,1/25/2020,Sat,3,825
LL1-072,1/26/2020,Sun,4,1030
LL1-072,1/27/2020,Mon,5,849
LL1-072,1/28/2020,Tues,6,891
LL1-072,1/29/2020,Wed,7,891
LL1-205,11/14/2020,Sat,1,957.5
LL1-205,11/15/2020,Sun,2,856.5
LL1-205,11/16/2020,Mon,3,1056
LL1-205,11/17/2020,Tue,4,791
LL1-205,11/18/2020,Wed,5,922
LL1-205,11/19/2020,Thu,6,774.5
LL1-205,11/20/2020,Fri,7,1015.5
LL1-215,12/13/2020,Sun,1,928
LL1-215,12/14/2020,Mon,2,1567
LL1-215,12/15/2020,Tue,3,378.5
LL1-215,12/16/2020,Wed,4,591.5
LL1-215,12/17/2020,Thu,5,848
LL1-215,12/18/2020,Fri,6,1769
LL1-215,12/19/2020,Sat,7,439
